file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\jprov\Documents\ck\target\tika\tika-parsers\tika-parsers-standard\tika-parsers-standard-modules\tika-parser-audiovideo-module\src\main\java\org\apache\tika\parser\mp3\ID3v22Handler.java,org.apache.tika.parser.mp3.ID3v22Handler$RawV22TagIterator,innerclass,2,2,0,2,1,2,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,2,0
C:\Users\jprov\Documents\ck\target\tika\tika-parsers\tika-parsers-standard\tika-parsers-standard-package\src\test\java\org\apache\tika\parser\pkg\CompositeZipContainerDetectorTest.java,org.apache.tika.parser.pkg.CompositeZipContainerDetectorTest,class,11,12,1,11,11,2,0,22,6,0.875,0.0,0.0,4,0,3,1,0,0,3,0,0,0,4,2,0,2,0,2,0,0,13,96,1,5,0,9,0,14,10,52,9,41,3,0,0,0,68,1,0
C:\Users\jprov\Documents\ck\target\tika\tika-integration-tests\tika-pipes-solr-integration-tests\src\test\java\org\apache\tika\pipes\solr\tests\TikaPipesSolrTestBase.java,org.apache.tika.pipes.solr.tests.TikaPipesSolrTestBase,class,17,22,5,17,24,1,4,49,71,0.83035713,0.055555556,0.083333336,14,0,7,5,2,0,9,2,0,0,8,0,0,7,1,0,3,0,2,146,2,3,2,8,0,86,19,37,16,32,3,0,0,0,129,1025,0
C:\Users\jprov\Documents\ck\target\tika\tika-parsers\tika-parsers-standard\tika-parsers-standard-modules\tika-parser-mail-commons\src\main\java\org\apache\tika\parser\mailcommons\MailDateParser.java,org.apache.tika.parser.mailcommons.MailDateParser,class,1,6,5,1,25,1,0,53,17,0.8376623,0.0,0.0,7,7,2,4,1,0,3,0,0,0,22,22,14,8,0,0,22,0,19,150,12,3,4,4,0,49,142,45,2,31,3,0,0,0,132,1,0
C:\Users\jprov\Documents\ck\target\tika\tika-parsers\tika-parsers-ml\tika-parser-advancedmedia-module\src\main\java\org\apache\tika\parser\recognition\ObjectRecognitionParser.java,org.apache.tika.parser.recognition.ObjectRecognitionParser,class,15,16,1,15,15,2,0,37,0,0.64,0.6,0.6,5,0,5,0,0,0,5,0,0,1,5,4,3,2,0,0,4,0,8,76,2,2,4,0,0,23,3,18,2,17,4,0,0,1,99,1,7
C:\Users\jprov\Documents\ck\target\tika\tika-core\src\main\java\org\apache\tika\pipes\pipesiterator\fs\FileSystemPipesIterator.java,org.apache.tika.pipes.pipesiterator.fs.FileSystemPipesIterator$FSFileVisitor,innerclass,5,5,0,5,7,1,0,5,8,0.6,0.0,0.0,5,0,4,1,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,30,5,0,0,1,0,0,0,3,0,3,1,0,0,0,35,2,0
C:\Users\jprov\Documents\ck\target\tika\tika-parsers\tika-parsers-standard\tika-parsers-standard-modules\tika-parser-pkg-module\src\main\java\org\apache\tika\parser\pkg\PackageParser.java,org.apache.tika.parser.pkg.PackageParser,class,32,35,3,32,58,3,0,55,54,0.8833334,0.027777778,0.027777778,12,3,6,3,1,2,9,0,1,0,5,4,0,4,0,1,4,0,5,258,15,2,15,5,3,99,7,44,4,31,4,0,1,0,231,1,0
C:\Users\jprov\Documents\ck\target\tika\tika-parsers\tika-parsers-standard\tika-parsers-standard-modules\tika-parser-microsoft-module\src\main\java\org\apache\tika\parser\microsoft\onenote\fsshttpb\util\LittleEndianBitConverter.java,org.apache.tika.parser.microsoft.onenote.fsshttpb.util.LittleEndianBitConverter,class,4,11,7,4,16,1,0,5,55,0.0,0.0,0.0,11,10,7,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,13,61,8,2,1,0,1,6,20,11,5,7,1,0,0,0,91,1,0
C:\Users\jprov\Documents\ck\target\tika\tika-eval\tika-eval-core\src\test\java\org\apache\tika\eval\core\langid\LangIdTest.java,org.apache.tika.eval.core.langid.LangIdTest,class,4,4,0,4,6,1,0,16,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,24,0,2,1,0,0,7,2,6,2,6,2,0,0,0,41,1,0
C:\Users\jprov\Documents\ck\target\tika\tika-parsers\tika-parsers-standard\tika-parsers-standard-modules\tika-parser-text-module\src\main\java\org\apache\tika\parser\txt\CharsetMatch.java,org.apache.tika.parser.txt.CharsetMatch,class,6,41,35,6,26,1,0,16,16,0.6794872,0.3974359,0.7051282,13,0,11,0,0,2,13,0,0,0,6,0,0,6,0,0,0,0,1,110,14,1,6,1,2,6,14,36,3,19,2,0,0,0,196,1,0
